Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,18,1,Tourism,daytime,1,137.0,1,19,Basic Education 3rd Cycle (9th–11th Year),4,"Services, Security, Sellers",126.9,0,0,0,1,male,no,20,0,0,6,7,6,13.857142857142858,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,Graduate
single,1,1,Animation and Multimedia Design,daytime,1,163.0,1,19,Secondary Education - 12th Year or Eq.,9,Skilled Industry and Construction Workers,143.1,0,0,0,1,male,no,18,0,0,0,0,0,13.100296840948086,0,0,0,0,0,13.143524991110894,0,9.4,-0.8,-3.12,Graduate
single,1,1,Tourism,daytime,1,125.0,1,1,Secondary Education - 12th Year or Eq.,191,Unskilled Industry and Construction Workers,114.5,0,0,0,1,male,no,20,0,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate
married,39,1,Informatics Engineering,daytime,1,120.0,1,34,Unknown,0,Student,140.0,1,0,0,1,male,no,33,0,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,Dropout
single,42,1,Management (evening attendance),evening,1,150.0,1,19,Basic Education 3rd Cycle (9th–11th Year),5,"Services, Security, Sellers",113.7,0,0,0,1,male,no,30,0,11,15,15,13,11.461538461538462,0,6,11,15,10,11.583333333333334,1,16.2,0.3,-0.92,Graduate
single,1,1,Oral Hygiene,daytime,1,135.0,1,1,Secondary Education - 12th Year or Eq.,1,Legislative/Executive Directors and Managers,131.5,0,0,0,1,male,yes,21,0,0,7,14,5,11.2,0,0,8,11,6,11.583333333333334,0,16.2,0.3,-0.92,Enrolled
single,1,1,Agronomy,daytime,1,148.0,1,1,Basic Education 3rd Cycle (9th–11th Year),194,Meal Prep Assistants,143.5,0,0,1,1,male,no,18,0,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate
single,1,1,Nursing,daytime,1,138.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,126.8,0,0,0,1,male,yes,19,0,0,7,9,7,14.244444444444444,0,0,8,12,8,12.233333333333333,0,15.5,2.8,-4.06,Graduate
single,17,1,Communication Design,daytime,1,119.0,1,38,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,115.2,0,0,0,1,male,yes,21,0,0,6,8,4,11.5,0,0,6,7,5,11.0,0,15.5,2.8,-4.06,Dropout
single,39,2,Oral Hygiene,daytime,1,130.0,1,19,Basic Education 3rd Cycle (9th–11th Year),4,"Services, Security, Sellers",100.0,0,0,0,1,male,yes,25,0,0,7,7,2,10.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1,2,Advertising and Marketing Management,daytime,1,135.0,1,19,Basic Education 3rd Cycle (9th–11th Year),7,Armed Forces Professions,121.4,0,0,0,1,male,no,19,0,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,Graduate
single,44,1,Communication Design,daytime,39,120.0,1,19,Secondary Education - 12th Year or Eq.,9,Intermediate Level Technicians,120.0,1,0,0,1,male,no,23,0,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,Dropout
single,17,2,Communication Design,daytime,1,126.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Machine Operators and Assemblers,129.9,1,0,0,1,male,yes,19,0,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,Graduate
single,1,1,Animation and Multimedia Design,daytime,1,149.0,1,3,Bachelor's Degree,2,"Services, Security, Sellers",151.1,1,0,0,1,male,no,19,0,0,0,0,0,13.100296840948086,0,0,0,0,0,13.143524991110894,0,9.4,-0.8,-3.12,Graduate
single,39,1,Agronomy,daytime,1,110.0,1,19,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,120.0,0,0,1,0,male,no,31,0,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
single,39,1,Agronomy,daytime,1,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),4,Skilled Industry and Construction Workers,130.0,0,0,1,0,male,no,32,0,0,6,8,3,13.0,0,4,10,14,6,11.428571428571429,0,16.2,0.3,-0.92,Dropout
single,16,2,Nursing,daytime,1,127.0,1,2,Basic Education 2nd Cycle (6th–8th Year),4,Unskilled Workers,119.0,1,0,0,1,female,yes,19,0,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate
single,42,1,Journalism and Communication,daytime,6,120.0,1,34,Unknown,0,Student,122.0,1,0,0,1,female,no,34,0,8,10,11,10,12.2,0,5,10,12,9,12.333333333333334,0,7.6,2.6,0.32,Graduate
single,16,6,Journalism and Communication,daytime,1,136.0,1,38,10th Year,0,Student,129.7,1,0,0,1,female,no,21,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate
single,43,2,Social Service,daytime,1,110.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Skilled Industry and Construction Workers,112.5,1,0,0,1,female,yes,53,0,4,7,16,6,11.0,0,2,7,9,7,11.0,0,9.4,-0.8,-3.12,Graduate
single,1,1,Nursing,daytime,1,136.0,1,19,Basic Education 3rd Cycle (9th–11th Year),4,Skilled Industry and Construction Workers,136.0,0,0,0,1,female,yes,19,0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate
single,1,3,Journalism and Communication,daytime,1,145.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,"Services, Security, Sellers",133.1,0,0,0,1,female,yes,20,0,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate
single,1,2,Journalism and Communication,daytime,1,159.0,1,1,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,151.3,1,0,0,1,female,no,18,0,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,Graduate
single,39,1,Animation and Multimedia Design,daytime,1,147.0,1,37,Basic Education 2nd Cycle (6th–8th Year),175,Unskilled Industry and Construction Workers,133.3,0,0,0,0,female,no,32,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,43,1,Nursing,daytime,1,150.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,130.8,1,0,0,1,female,yes,21,0,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate
single,7,1,Social Service (evening attendance),evening,3,140.0,1,37,Other - 11th Year,9,Administrative Staff,140.0,0,0,0,0,female,no,26,0,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,42,1,Veterinary Nursing,daytime,39,150.0,1,1,Secondary Education - 12th Year or Eq.,4,Skilled Industry and Construction Workers,150.0,1,0,0,1,female,no,26,0,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,Graduate
married,44,1,Management (evening attendance),evening,39,130.0,1,1,Basic Education 1st Cycle (4th–5th Year),4,Unskilled Workers,130.0,0,0,0,0,female,no,21,0,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout
single,17,1,Journalism and Communication,daytime,1,120.0,1,37,Basic Education 1st Cycle (4th–5th Year),5,"Services, Security, Sellers",125.3,0,0,0,1,female,no,18,0,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,Graduate
single,43,1,Communication Design,daytime,39,130.0,1,19,Basic Education 1st Cycle (4th–5th Year),5,Unskilled Workers,124.0,1,0,0,1,female,yes,21,0,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,Graduate
single,1,1,Tourism,daytime,1,112.0,1,38,Basic Education 3rd Cycle (9th–11th Year),9,"Services, Security, Sellers",113.8,1,0,0,1,female,no,21,0,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled
single,17,1,Advertising and Marketing Management,daytime,1,128.0,1,19,Basic Education 3rd Cycle (9th–11th Year),7,Skilled Industry and Construction Workers,124.4,0,0,0,1,female,yes,19,0,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate
single,17,1,Management,daytime,1,114.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Skilled Industry and Construction Workers,107.7,0,0,0,1,female,no,19,0,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,Dropout
single,43,2,Social Service,daytime,1,118.0,1,38,Basic Education 2nd Cycle (6th–8th Year),5,"Services, Security, Sellers",110.0,0,0,0,1,female,yes,19,0,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,Graduate
single,7,1,Nursing,daytime,3,130.0,1,37,Basic Education 2nd Cycle (6th–8th Year),7,Skilled Industry and Construction Workers,130.0,1,0,0,1,female,no,27,0,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,Graduate
single,1,2,Nursing,daytime,1,145.0,1,37,Secondary Education - 12th Year or Eq.,9,Administrative Staff,138.8,1,0,0,1,female,yes,18,0,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate
single,1,2,Management,daytime,1,121.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,126.3,1,0,0,1,female,no,20,0,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1,3,Nursing,daytime,1,114.0,1,1,Secondary Education - 12th Year or Eq.,5,"Services, Security, Sellers",114.5,1,0,0,1,female,yes,19,0,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate
single,1,4,Advertising and Marketing Management,daytime,1,127.0,1,1,Secondary Education - 12th Year or Eq.,7,Skilled Industry and Construction Workers,116.5,1,0,0,1,female,no,20,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
single,17,2,Social Service,daytime,1,145.0,1,19,Basic Education 2nd Cycle (6th–8th Year),7,Farmers and Agricultural Workers,128.6,1,0,0,1,female,yes,19,0,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
single,17,5,Social Service,daytime,1,130.0,1,19,Secondary Education - 12th Year or Eq.,5,"Services, Security, Sellers",130.0,1,0,0,1,female,no,20,0,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled
single,1,1,Animation and Multimedia Design,daytime,1,150.0,1,38,Basic Education 3rd Cycle (9th–11th Year),7,Armed Forces Professions,134.6,0,0,0,1,female,no,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1,1,Basic Education,daytime,1,145.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,"Services, Security, Sellers",146.8,0,0,0,1,female,no,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,Graduate
single,1,1,Veterinary Nursing,daytime,1,128.0,1,19,Secondary Education - 12th Year or Eq.,5,Administrative Staff,135.7,1,0,0,1,female,no,20,0,0,5,7,4,12.75,0,0,5,5,5,13.4,0,10.8,1.4,1.74,Graduate
married,39,1,Management (evening attendance),evening,1,140.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,120.0,0,0,0,0,female,no,38,0,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,Dropout
divorced,39,1,Social Service (evening attendance),evening,1,130.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Skilled Industry and Construction Workers,138.0,0,0,0,1,female,no,42,0,0,6,8,5,11.2,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate
single,39,1,Nursing,daytime,1,140.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,135.5,0,0,0,1,female,no,32,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,15,1,Journalism and Communication,daytime,1,120.0,26,19,Basic Education 3rd Cycle (9th–11th Year),4,"Services, Security, Sellers",120.0,1,0,0,1,female,no,22,1,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
married,39,1,Management (evening attendance),evening,1,147.0,1,34,Unknown,90,Other Situation,111.7,1,0,0,1,female,no,28,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
married,39,1,Social Service (evening attendance),evening,9,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),8,Armed Forces Professions,100.0,1,0,0,1,female,no,37,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,44,1,Agronomy,daytime,39,160.0,1,37,Basic Education 2nd Cycle (6th–8th Year),9,Administrative Staff,160.0,0,0,0,1,female,no,43,0,0,6,8,6,14.166666666666666,0,0,6,9,6,15.0,0,15.5,2.8,-4.06,Graduate
legally separated,39,1,Social Service (evening attendance),evening,1,133.1,1,37,Secondary Education - 12th Year or Eq.,9,Skilled Industry and Construction Workers,114.8,0,0,0,1,female,yes,41,0,0,6,10,5,12.833333333333334,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Graduate
divorced,39,1,Social Service (evening attendance),evening,19,140.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Intermediate Level Technicians,131.0,0,0,0,1,female,yes,29,0,0,6,11,4,11.75,0,0,6,9,5,10.4,0,10.8,1.4,1.74,Graduate
single,39,1,Social Service (evening attendance),evening,1,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,97.0,0,0,0,1,female,yes,35,0,0,6,8,6,10.833333333333334,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Graduate
single,17,6,Social Service,daytime,1,131.0,1,1,Higher Education - Degree,4,Intellectual and Scientific Specialists,131.7,1,0,0,1,female,no,18,0,0,6,8,4,11.75,0,0,6,8,4,12.25,0,9.4,-0.8,-3.12,Dropout
single,39,1,Nursing,daytime,19,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,120.0,0,0,0,0,female,yes,39,0,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,Dropout
divorced,39,1,Management (evening attendance),evening,1,120.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,110.0,0,0,0,1,female,no,37,0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
single,39,1,Nursing,daytime,1,130.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Skilled Industry and Construction Workers,133.0,1,0,0,1,female,yes,26,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
single,7,1,Veterinary Nursing,daytime,3,140.0,1,19,Complementary High School Course,4,Other Situation,140.0,1,0,0,1,female,no,32,0,0,5,8,1,14.0,2,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout
married,39,1,Social Service (evening attendance),evening,1,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),6,Machine Operators and Assemblers,100.0,0,0,1,1,female,no,37,0,3,8,12,7,11.375,0,2,7,10,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled
single,39,1,Veterinary Nursing,daytime,1,140.0,1,37,Basic Education 3rd Cycle (9th–11th Year),191,Subsistence Farmers and Fishers,129.3,1,0,1,1,female,no,28,0,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled
single,1,1,Social Service,daytime,1,133.1,1,19,Basic Education 1st Cycle (4th–5th Year),0,Student,137.0,1,0,0,1,female,no,19,0,0,6,10,0,0.0,4,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,1,5,Management,daytime,1,125.0,1,37,Basic Education 2nd Cycle (6th–8th Year),7,Skilled Industry and Construction Workers,122.2,1,0,0,1,female,no,18,0,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled
single,1,1,Basic Education,daytime,1,115.0,1,19,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,108.0,0,0,0,1,female,yes,19,0,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,Graduate
married,7,1,Advertising and Marketing Management,daytime,3,110.0,1,37,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,110.0,0,0,0,1,female,no,32,0,4,11,15,8,13.6,0,2,8,10,8,15.11111111111111,0,13.9,-0.3,0.79,Graduate
married,39,1,Management,daytime,1,140.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,127.7,1,0,0,1,female,no,31,0,0,5,8,3,11.0,0,0,5,9,2,11.5,0,7.6,2.6,0.32,Dropout
single,39,1,Nursing,daytime,1,100.0,1,3,Secondary Education - 12th Year or Eq.,2,"Services, Security, Sellers",121.3,1,0,0,1,female,no,34,0,0,8,11,7,11.705714285714285,0,0,8,11,7,11.705714285714285,0,10.8,1.4,1.74,Enrolled
single,1,3,Animation and Multimedia Design,daytime,1,145.0,1,1,Secondary Education - 12th Year or Eq.,3,Intermediate Level Technicians,140.1,1,0,0,1,female,no,20,0,6,12,12,12,13.25,0,4,11,14,11,14.333333333333334,0,8.9,1.4,3.51,Graduate
single,39,1,Nursing,daytime,19,133.1,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,114.8,0,0,0,1,female,no,28,0,0,7,15,1,10.75,0,0,7,10,1,10.0,0,13.9,-0.3,0.79,Dropout
single,44,1,Management (evening attendance),evening,39,150.0,1,37,Basic Education 1st Cycle (4th–5th Year),6,Farmers and Agricultural Workers,150.0,0,0,0,1,female,no,31,0,2,6,8,6,12.0,0,2,7,8,7,13.428571428571429,0,9.4,-0.8,-3.12,Enrolled
single,1,1,Journalism and Communication,daytime,1,145.0,1,19,Basic Education 2nd Cycle (6th–8th Year),4,Armed Forces Professions,131.7,1,0,0,1,female,no,18,0,0,6,7,6,12.666666666666666,0,0,6,8,4,12.25,0,7.6,2.6,0.32,Enrolled
divorced,39,1,Social Service (evening attendance),evening,19,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),90,Skilled Industry and Construction Workers,110.0,0,0,0,0,female,no,31,0,0,6,8,5,11.4,0,0,6,9,3,11.0,0,9.4,-0.8,-3.12,Dropout
single,1,3,Journalism and Communication,daytime,1,110.0,1,19,Basic Education 3rd Cycle (9th–11th Year),5,"Services, Security, Sellers",105.5,1,0,0,1,female,no,19,0,0,6,6,6,13.0,0,0,6,8,5,12.4,0,12.4,0.5,1.79,Graduate
single,1,1,Social Service,daytime,1,128.0,1,37,Basic Education 3rd Cycle (9th–11th Year),9,Administrative Staff,127.3,1,0,0,1,female,yes,19,0,0,6,8,6,14.0,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate
married,39,1,Social Service,daytime,19,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,130.0,1,0,0,1,female,no,31,0,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,7,1,Veterinary Nursing,daytime,3,130.0,1,1,Basic Education 3rd Cycle (9th–11th Year),9,Armed Forces Professions,130.0,0,0,0,1,female,no,34,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,16,1,Oral Hygiene,daytime,1,137.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Skilled Industry and Construction Workers,122.7,1,0,0,1,female,yes,18,0,0,7,7,7,15.285714285714286,0,0,8,8,8,16.075,0,12.4,0.5,1.79,Graduate
single,17,2,Tourism,daytime,1,123.0,1,37,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,113.9,1,0,0,1,female,no,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
single,1,1,Management,daytime,1,156.0,1,3,Basic Education 3rd Cycle (9th–11th Year),3,Intermediate Level Technicians,151.1,0,0,1,1,male,no,19,0,0,5,7,5,13.6,0,0,5,11,5,12.833333333333334,5,16.2,0.3,-0.92,Graduate
single,17,2,Journalism and Communication,daytime,1,133.1,1,3,Doctorate,0,Intellectual and Scientific Specialists,125.8,1,0,0,0,male,yes,22,0,0,4,8,0,0.0,0,0,4,8,0,0.0,0,7.6,2.6,0.32,Dropout
married,43,1,Advertising and Marketing Management,daytime,1,100.0,1,34,Unknown,0,Student,128.2,0,0,0,1,male,no,32,0,6,10,12,10,11.4,0,4,9,9,4,11.5,0,7.6,2.6,0.32,Graduate
single,39,1,Management,daytime,1,140.0,1,37,Higher Education - Degree,9,Intellectual and Scientific Specialists,135.1,0,0,0,1,male,no,61,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,39,1,Management (evening attendance),evening,1,130.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,120.2,1,0,0,1,male,no,30,0,0,5,7,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
married,39,1,Management (evening attendance),evening,1,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,132.8,0,0,1,0,male,no,45,0,0,5,9,0,0.0,0,0,5,11,0,0.0,0,12.4,0.5,1.79,Dropout
single,44,1,Agronomy,daytime,39,140.0,1,1,Basic Education 3rd Cycle (9th–11th Year),4,Machine Operators and Assemblers,140.0,0,0,0,1,male,no,20,0,0,6,7,6,13.571428571428571,0,0,6,6,6,12.666666666666666,0,12.4,0.5,1.79,Graduate
single,18,5,Nursing,daytime,1,137.0,1,19,Secondary Education - 12th Year or Eq.,1,Armed Forces Professions,129.3,0,0,0,1,female,no,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,42,1,Informatics Engineering,daytime,1,120.0,1,3,Secondary Education - 12th Year or Eq.,2,Unskilled Workers,108.2,1,0,0,1,male,no,26,0,4,10,14,4,11.25,0,4,11,11,4,12.0,0,7.6,2.6,0.32,Dropout
single,17,4,Advertising and Marketing Management,daytime,1,125.0,1,1,Secondary Education - 12th Year or Eq.,4,Other Situation,125.4,1,0,0,1,male,no,19,0,0,5,6,3,13.333333333333334,0,0,5,5,1,11.0,0,7.6,2.6,0.32,Dropout
single,17,1,Journalism and Communication,daytime,1,130.0,1,19,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,140.2,0,0,0,1,male,yes,19,0,0,6,6,6,12.0,0,0,6,7,6,11.666666666666666,0,16.2,0.3,-0.92,Graduate
single,1,3,Journalism and Communication,daytime,1,115.0,1,38,Secondary Education - 12th Year or Eq.,9,Administrative Staff,116.1,1,0,0,1,male,no,19,0,0,6,6,6,12.5,0,0,6,7,5,13.0,0,12.4,0.5,1.79,Graduate
single,1,1,Management,daytime,1,150.0,1,1,Basic Education 3rd Cycle (9th–11th Year),5,"Services, Security, Sellers",137.8,1,0,0,1,male,yes,19,0,0,5,6,5,13.2,0,0,5,6,5,12.666666666666666,0,16.2,0.3,-0.92,Graduate
single,1,3,Advertising and Marketing Management,daytime,1,134.0,1,14,7th Year (Old),0,Student,128.4,1,0,0,0,male,no,19,0,0,5,5,0,0.0,0,0,4,4,0,0.0,0,7.6,2.6,0.32,Dropout
single,39,1,Advertising and Marketing Management,daytime,1,120.0,1,34,Unknown,0,Student,106.0,1,0,0,0,male,no,28,0,0,5,7,3,11.666666666666666,0,0,5,8,2,11.5,1,7.6,2.6,0.32,Dropout
single,43,1,Management,daytime,1,141.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,130.2,0,0,0,1,male,no,24,0,10,15,16,15,13.466666666666669,1,10,14,14,14,13.642857142857142,0,9.4,-0.8,-3.12,Graduate
single,1,1,Equinculture,daytime,1,133.0,1,3,Secondary Education - 12th Year or Eq.,2,Administrative Staff,126.0,0,0,0,1,male,no,18,0,0,5,7,3,13.666666666666666,0,0,5,5,5,13.2,0,7.6,2.6,0.32,Graduate
single,1,2,Informatics Engineering,daytime,1,149.0,1,38,Basic Education 2nd Cycle (6th–8th Year),5,"Services, Security, Sellers",141.0,0,0,0,1,male,no,18,0,0,5,9,2,11.666666666666666,0,0,5,9,2,12.5,2,7.6,2.6,0.32,Enrolled
single,1,1,Journalism and Communication,daytime,1,121.0,1,1,Higher Education - Degree,3,Skilled Industry and Construction Workers,113.0,1,0,0,1,male,yes,18,0,0,6,7,6,11.666666666666666,0,0,6,12,5,10.2,0,12.4,0.5,1.79,Graduate
single,44,1,Agronomy,daytime,39,120.0,1,4,Secondary Education - 12th Year or Eq.,2,Machine Operators and Assemblers,120.0,0,0,0,1,male,no,21,0,0,6,9,5,13.4,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
married,39,1,Management (evening attendance),evening,1,148.0,1,19,Basic Education 1st Cycle (4th–5th Year),9,"Services, Security, Sellers",130.9,0,0,0,0,male,no,28,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,39,1,Agronomy,daytime,12,133.1,1,37,Basic Education 3rd Cycle (9th–11th Year),9,Armed Forces Professions,120.0,0,0,0,1,male,no,58,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
married,39,1,Management (evening attendance),evening,1,135.0,1,34,Unknown,0,Student,134.1,1,0,0,0,male,no,49,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,39,1,Informatics Engineering,daytime,1,150.0,1,1,Basic Education 2nd Cycle (6th–8th Year),3,"Services, Security, Sellers",120.0,0,0,0,1,male,no,24,0,0,5,6,3,10.666666666666666,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled
single,43,1,Advertising and Marketing Management,daytime,1,130.0,1,34,Unknown,0,Student,114.8,0,0,0,1,male,no,25,0,0,5,5,4,13.75,0,0,5,5,4,14.75,0,7.6,2.6,0.32,Graduate
divorced,42,1,Management,daytime,1,133.1,1,37,Basic Education 2nd Cycle (6th–8th Year),7,Intermediate Level Technicians,123.0,1,0,0,1,male,no,33,0,0,5,5,1,10.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
married,39,2,Informatics Engineering,daytime,19,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,118.0,0,0,0,0,male,no,33,0,0,5,11,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,43,1,Basic Education,daytime,1,110.0,1,37,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,100.0,0,0,0,1,male,no,40,0,0,2,4,1,16.0,0,0,4,5,4,15.5,0,13.9,-0.3,0.79,Graduate
